identificador,titulo,municipio_estado,modalidade,modalidade_id,orgao,site_original
TCE-CE-166259,0012270123-PERP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227310/licit/166259
TCE-CE-166190,0012311.2023,"Uruoca [CE]","Sem modalidade definida",0,URUOCA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227220/licit/166190
TCE-CE-165960,0020812.2023,"Uruoca [CE]","Sem modalidade definida",0,URUOCA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226940/licit/165960
CE-166594,0022012.2023,"Uruoca [CE]","Sem modalidade definida",0,"Prefeitura de URUOCA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227748/licit/166594
CE-165652,0030112.2023,"Uruoca [CE]","Sem modalidade definida",0,"Prefeitura de URUOCA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226541/licit/165652
CE-166260,0030712.2023,"Uruoca [CE]","Sem modalidade definida",0,"Prefeitura de URUOCA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227311/licit/166260
TCE-CE-165989,0031807.2023SRP,"Uruoca [CE]","Sem modalidade definida",0,URUOCA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226978/licit/165989
CE-165659,0031912.2023,"Uruoca [CE]","Sem modalidade definida",0,"Prefeitura de URUOCA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226551/licit/165659
CE-166028,0040712.2023,"Uruoca [CE]","Sem modalidade definida",0,"Prefeitura de URUOCA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227025/licit/166028
TCE-CE-166263,005/2023-CP,"Pedra Branca [CE]","Sem modalidade definida",0,"PEDRA BRANCA",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227316/licit/166263
TCE-CE-165813,0050412.2023,"Uruoca [CE]","Sem modalidade definida",0,URUOCA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226751/licit/165813
CE-166222,0052712.2023,"Uruoca [CE]","Sem modalidade definida",0,"Prefeitura de URUOCA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227260/licit/166222
TCE-CE-166525,006/2023-TP,"Tauá [CE]","Sem modalidade definida",0,TAUA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227667/licit/166525
CE-165804,01.016/2023CPRP,"Aquiraz [CE]","Registro de preço",10,"Prefeitura de AQUIRAZ (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226741/licit/165804
CE-165481,01.024/2023,"Pacatuba [CE]","Registro de preço",10,"Prefeitura de PACATUBA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226317/licit/165481
TCE-CE-166067,01.027/2023-PE,"Maracanaú [CE]","Sem modalidade definida",0,MARACANAU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227074/licit/166067
TCE-CE-165555,01.075/2023-CP,"Ubajara [CE]","Sem modalidade definida",0,UBAJARA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226409/licit/165555
TCE-CE-166595,010/2023-CMJN,"Juazeiro do Norte [CE]","Sem modalidade definida",0,"JUAZEIRO DO NORTE",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227749/licit/166595
TCE-CE-165930,0112.02.2023.CP,"Trairi [CE]","Sem modalidade definida",0,TRAIRI,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226903/licit/165930
TCE-CE-166547,013/2023.04-TP,"Uruburetama [CE]","Sem modalidade definida",0,URUBURETAMA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227690/licit/166547
TCE-CE-166541,019/2023.04-TP,"Uruburetama [CE]","Sem modalidade definida",0,URUBURETAMA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227683/licit/166541
CE-166724,019/2023TP,"Tamboril [CE]","Sem modalidade definida",0,"Prefeitura de TAMBORIL (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227947/licit/166724
TCE-CE-166364,021.12/2023-CP,"Itapipoca [CE]","Sem modalidade definida",0,ITAPIPOCA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227452/licit/166364
CE-166375,022.12/2023-CPI,"Itapipoca [CE]","Sem modalidade definida",0,"Prefeitura de ITAPIPOCA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227465/licit/166375
TCE-CE-166375,022.12/2023-CPI,"Itapipoca [CE]","Sem modalidade definida",0,ITAPIPOCA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227465/licit/166375
TCE-CE-166602,0222023TPINFRA,"Ipu [CE]","Sem modalidade definida",0,IPU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227759/licit/166602
TCE-CE-166264,023/2023-CP,"Tauá [CE]","Sem modalidade definida",0,TAUA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227317/licit/166264
TCE-CE-166571,0232023TPINFRA,"Ipu [CE]","Sem modalidade definida",0,IPU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227716/licit/166571
TCE-CE-166294,024/2023-CP,"Tauá [CE]","Sem modalidade definida",0,TAUA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227357/licit/166294
CE-166206,03.003/2023-PE,"Jijoca de Jericoacoara [CE]","Sem modalidade definida",0,"Prefeitura de ICO (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227241/licit/166206
CE-165483,03.015/2023,"Pacatuba [CE]","Registro de preço",10,"Prefeitura de PACATUBA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226319/licit/165483
TCE-CE-166648,032-2023-PE-SRP,"Choró [CE]","Sem modalidade definida",0,CHORO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227817/licit/166648
TCE-CE-166403,04.002/2023-PE,"Quixadá [CE]","Sem modalidade definida",0,QUIXADA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227515/licit/166403
TCE-CE-166142,04.012/2023,"Graça [CE]","Sem modalidade definida",0,GRACA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227163/licit/166142
TCE-CE-166318,040/2023.02-SRP,"Uruburetama [CE]","Sem modalidade definida",0,URUBURETAMA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227388/licit/166318
TCE-CE-166393,041/2023.02-SRP,"Uruburetama [CE]","Sem modalidade definida",0,URUBURETAMA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227505/licit/166393
TCE-CE-166475,048/2023,"Marco [CE]","Sem modalidade definida",0,MARCO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227608/licit/166475
TCE-CE-165971,05.020/2023,"Novo Oriente [CE]","Sem modalidade definida",0,"NOVO ORIENTE",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226956/licit/165971
TCE-CE-166389,05.021/2023,"Novo Oriente [CE]","Sem modalidade definida",0,"NOVO ORIENTE",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227501/licit/166389
CE-166391,05.022/2023,"Novo Oriente [CE]","Sem modalidade definida",0,"Prefeitura de NOVO ORIENTE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227503/licit/166391
CE-165350,0512050123-TP,"Quixeramobim [CE]","Sem modalidade definida",0,"Prefeitura de QUIXERAMOBIM (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226139/licit/165350
TCE-CE-166409,"06.001/2023 TP","Aquiraz [CE]","Sem modalidade definida",0,AQUIRAZ,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227522/licit/166409
CE-163224,06.006/2023-CE,"Maranguape [CE]","Sem modalidade definida",0,"Prefeitura de MARANGUAPE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/223084/licit/163224
CE-165696,060.23-PE-FMS,"Ipueiras [CE]","Registro de preço",10,"Prefeitura de IPUEIRAS (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226597/licit/165696
CE-165698,061.23-PE-FMS,"Ipueiras [CE]","Registro de preço",10,"Prefeitura de IPUEIRAS (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226600/licit/165698
TCE-CE-166524,07.009/2023,"Eusébio [CE]","Sem modalidade definida",0,EUSEBIO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227666/licit/166524
TCE-CE-166511,07.011/2023,"Eusébio [CE]","Sem modalidade definida",0,EUSEBIO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227653/licit/166511
TCE-CE-166437,07/2023-PP,"Araripe [CE]","Sem modalidade definida",0,ARARIPE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227558/licit/166437
CE-165855,0712210123-CP,"Quixeramobim [CE]","Sem modalidade definida",0,"Prefeitura de QUIXERAMOBIM (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226806/licit/165855
CE-166002,0712210223-CP,"Quixeramobim [CE]","Sem modalidade definida",0,"Prefeitura de QUIXERAMOBIM (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226992/licit/166002
TCE-CE-166298,0712220123-TP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227363/licit/166298
TCE-CE-166305,0712220223-TP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227370/licit/166305
TCE-CE-166297,0712270123-PERP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227360/licit/166297
TCE-CE-166506,08.007/2023,"Eusébio [CE]","Sem modalidade definida",0,EUSEBIO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227648/licit/166506
TCE-CE-166126,09.001/2023-SRP,"Apuiarés [CE]","Sem modalidade definida",0,APUIARES,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227143/licit/166126
TCE-CE-166027,09.031/2023PERP,"Pacatuba [CE]","Sem modalidade definida",0,PACATUBA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227024/licit/166027
TCE-CE-166121,10.001/2023-TP,"Quixadá [CE]","Sem modalidade definida",0,QUIXADA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227137/licit/166121
TCE-CE-166450,10.004/2023,"Eusébio [CE]","Sem modalidade definida",0,EUSEBIO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227573/licit/166450
TCE-CE-166512,10.005/2023,"Eusébio [CE]","Sem modalidade definida",0,EUSEBIO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227654/licit/166512
TCE-CE-166101,10.050/2023-TP,"Maracanaú [CE]","Sem modalidade definida",0,MARACANAU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227115/licit/166101
TCE-CE-166239,10.051/2023-TP,"Maracanaú [CE]","Sem modalidade definida",0,MARACANAU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227284/licit/166239
TCE-CE-166181,11.005/2023-SRP,"Chaval [CE]","Sem modalidade definida",0,CHAVAL,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227211/licit/166181
CE-165567,1112.06/2023,"Acarape [CE]","Sem modalidade definida",0,"Prefeitura de ACARAPE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226423/licit/165567
TCE-CE-165858,12.22.01/2023,"Capistrano [CE]","Sem modalidade definida",0,CAPISTRANO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226813/licit/165858
TCE-CE-166195,12.27.01/2023,"Beberibe [CE]","Sem modalidade definida",0,BEBERIBE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227226/licit/166195
CE-166219,12.27.02/2023,"Beberibe [CE]","Sem modalidade definida",0,"Prefeitura de BEBERIBE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227255/licit/166219
TCE-CE-166132,"13.01/2023 - TP","Icó [CE]","Sem modalidade definida",0,ICO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227150/licit/166132
CE-166582,"13.12.01 2023","Tabuleiro do Norte [CE]","Sem modalidade definida",0,"Prefeitura de TABULEIRO DO NORTE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227731/licit/166582
TCE-CE-166290,13/2023-TP,"Caridade [CE]","Sem modalidade definida",0,CARIDADE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227350/licit/166290
TCE-CE-166109,14.066/2023-PE,"Maracanaú [CE]","Sem modalidade definida",0,MARACANAU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227124/licit/166109
TCE-CE-166116,14.067/2023-PE,"Maracanaú [CE]","Sem modalidade definida",0,MARACANAU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227131/licit/166116
TCE-CE-166187,14.068/2023-PE,"Maracanaú [CE]","Sem modalidade definida",0,MARACANAU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227217/licit/166187
TCE-CE-166168,14.069/2023-PE,"Maracanaú [CE]","Sem modalidade definida",0,MARACANAU,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227197/licit/166168
TCE-CE-166312,14/2023-TP,"Caridade [CE]","Sem modalidade definida",0,CARIDADE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227377/licit/166312
TCE-CE-166023,1412190123-PERP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227016/licit/166023
TCE-CE-166151,15.02/2023-TP,"Icó [CE]","Sem modalidade definida",0,ICO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227173/licit/166151
TCE-CE-166281,15.03/2023-TP,"Icó [CE]","Sem modalidade definida",0,ICO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227339/licit/166281
CE-165399,15.12.02/2023,"Pereiro [CE]","Sem modalidade definida",0,"Prefeitura de PEREIRO (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226196/licit/165399
TCE-CE-166058,1611.11/2023.02,"Acarape [CE]","Sem modalidade definida",0,ACARAPE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227065/licit/166058
TCE-CE-166313,1612150123-TP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227379/licit/166313
CE-166316,1612200123-TP,"Quixeramobim [CE]","Sem modalidade definida",0,"Prefeitura de QUIXERAMOBIM (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227384/licit/166316
TCE-CE-166316,1612200123-TP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227384/licit/166316
TCE-CE-166542,18.12.002/2023,"Saboeiro [CE]","Sem modalidade definida",0,SABOEIRO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227684/licit/166542
CE-166749,1812.02.2023.CP,"Trairi [CE]","Sem modalidade definida",0,"Prefeitura de TRAIRI (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/228002/licit/166749
CE-166770,1812.03.2023.CP,"Trairi [CE]","Sem modalidade definida",0,"Prefeitura de TRAIRI (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/228040/licit/166770
CE-166084,1812.04/2023,"Acarape [CE]","Sem modalidade definida",0,"Prefeitura de ACARAPE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227095/licit/166084
CE-165735,181201.2023.08,"Amontada [CE]","Sem modalidade definida",0,"Prefeitura de AMONTADA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226649/licit/165735
CE-165740,181202.2023.08,"Amontada [CE]","Sem modalidade definida",0,"Prefeitura de AMONTADA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226659/licit/165740
TCE-CE-166043,1812070123-PERP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227043/licit/166043
TCE-CE-165864,1812150123-TP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226820/licit/165864
CE-165754,191201.2023.08,"Amontada [CE]","Sem modalidade definida",0,"Prefeitura de AMONTADA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226676/licit/165754
TCE-CE-166055,1912202302TP,"Santana do Cariri [CE]","Sem modalidade definida",0,"SANTANA DO CARIRI",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227060/licit/166055
TCE-CE-165900,2012.03/23-SMDU,"Fortim [CE]","Sem modalidade definida",0,FORTIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226866/licit/165900
CE-166781,2012.05.2023.CP,"Trairi [CE]","Sem modalidade definida",0,"Prefeitura de TRAIRI (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/228058/licit/166781
TCE-CE-166046,2012202302TP,"Santana do Cariri [CE]","Sem modalidade definida",0,"SANTANA DO CARIRI",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227047/licit/166046
TCE-CE-165982,2023.09.01.2SRP,"Horizonte [CE]","Sem modalidade definida",0,HORIZONTE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226969/licit/165982
TCE-CE-165988,2023.11.30.3,"Crato [CE]","Sem modalidade definida",0,CRATO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226976/licit/165988
TCE-CE-165922,2023.12.07.3,"Crato [CE]","Sem modalidade definida",0,CRATO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226893/licit/165922
CE-165056,2023.12.08.1,"Juazeiro do Norte [CE]","Sem modalidade definida",0,"Prefeitura de JUAZEIRO DO NORTE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/225755/licit/165056
TCE-CE-165910,2023.12.11.1,"Crato [CE]","Sem modalidade definida",0,CRATO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226879/licit/165910
TCE-CE-165929,2023.12.11.3,"Crato [CE]","Sem modalidade definida",0,CRATO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226902/licit/165929
TCE-CE-166200,2023.12.12.02PE,"Irauçuba [CE]","Sem modalidade definida",0,IRAUCUBA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227231/licit/166200
TCE-CE-166402,2023.12.12.02PE,"Croatá [CE]","Sem modalidade definida",0,CROATA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227514/licit/166402
CE-165301,2023.12.13.2,"Juazeiro do Norte [CE]","Sem modalidade definida",0,"Prefeitura de JUAZEIRO DO NORTE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226077/licit/165301
CE-165336,2023.12.14.1,"Barbalha [CE]","Sem modalidade definida",0,"Prefeitura de BARBALHA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226119/licit/165336
TCE-CE-165866,2023.12.14.2SRP,"Horizonte [CE]","Sem modalidade definida",0,HORIZONTE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226822/licit/165866
CE-165395,2023.12.15.01,"Mauriti [CE]","Sem modalidade definida",0,"Prefeitura de MAURITI (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226192/licit/165395
CE-165480,2023.12.15.1,"Juazeiro do Norte [CE]","Sem modalidade definida",0,"Prefeitura de JUAZEIRO DO NORTE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226316/licit/165480
TCE-CE-166090,2023.12.15.2,"Crato [CE]","Sem modalidade definida",0,CRATO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227103/licit/166090
TCE-CE-165994,2023.12.18.01TP,"Palmácia [CE]","Sem modalidade definida",0,PALMACIA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226984/licit/165994
CE-165695,2023.12.19.002,"Boa Viagem [CE]","Sem modalidade definida",0,"Prefeitura de BOA VIAGEM (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226596/licit/165695
TCE-CE-165805,2023.12.19.01-C,"Solonópole [CE]","Sem modalidade definida",0,SOLONOPOLE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226742/licit/165805
TCE-CE-166057,2023.12.19.1,"Crato [CE]","Sem modalidade definida",0,CRATO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227064/licit/166057
CE-165755,2023.12.20.001,"Camocim [CE]","Sem modalidade definida",0,"Prefeitura de CAMOCIM (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226677/licit/165755
TCE-CE-166498,2023.12.20.002,"Forquilha [CE]","Sem modalidade definida",0,FORQUILHA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227634/licit/166498
CE-165624,2023.12.20.1,"Barro [CE]","Sem modalidade definida",0,"Prefeitura de BARRO (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226504/licit/165624
CE-165651,2023.12.20.1,"Juazeiro do Norte [CE]","Sem modalidade definida",0,"Prefeitura de JUAZEIRO DO NORTE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226540/licit/165651
TCE-CE-166334,2023.12.21.01PE,"Irauçuba [CE]","Sem modalidade definida",0,IRAUCUBA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227418/licit/166334
TCE-CE-166381,2023.12.21.01TP,"Jijoca de Jericoacoara [CE]","Sem modalidade definida",0,"JIJOCA DE JERICOACOARA",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227481/licit/166381
TCE-CE-166332,2023.12.21.02PE,"Irauçuba [CE]","Sem modalidade definida",0,IRAUCUBA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227416/licit/166332
TCE-CE-166113,2023.12.21.1,"Crato [CE]","Sem modalidade definida",0,CRATO,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227128/licit/166113
CE-165626,2023.12.21.1,"Abaiara [CE]","Sem modalidade definida",0,"Prefeitura de ABAIARA (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226508/licit/165626
TCE-CE-165891,2023.12.21.1,"Porteiras [CE]","Sem modalidade definida",0,PORTEIRAS,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226853/licit/165891
TCE-CE-166365,2023.12.21.2SRP,"Horizonte [CE]","Sem modalidade definida",0,HORIZONTE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227453/licit/166365
CE-165783,2023.12.21.4,"Juazeiro do Norte [CE]","Sem modalidade definida",0,"Prefeitura de JUAZEIRO DO NORTE (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226711/licit/165783
